Cidade,Data,Dia,Período,Horário,Atividade,Tipo,Duração,Preço (CAD ou USD),Reserva Necessária?,Notas / Dicas
,,,,,VOOS,,,,, 
Toronto,13/08 (Qui),Pré-viagem,Noite,21:35 → 06:40,Voo GRU → YYZ (Air Canada AC91),Voo,10h,Incluso,Não,Boeing 787-9 · Direto · Chega em 14/08
,,,,,,,,,, 
Toronto,14/08 (Sex),Chegada,Manhã,06:40 → 09:00,Chegada Aeroporto Pearson (YYZ),Chegada,2h30,UP Express $12 CAD/pessoa,Não,SIM Card: Koodo ou Freedom Mobile no aeroporto · UP Express até Union Station em 25min
Toronto,14/08 (Sex),Chegada,Manhã,09:00 → 10:00,Tim Hortons — Primeiro café canadense,Café,30-60min,~$8-12 CAD (casal),Não,"Peça: Double Double (café 2 cremes 2 açúcares) + Timbits (mix de sabores)"
Toronto,14/08 (Sex),Chegada,Tarde/Noite,15:00 → 19:00,Dundas Square — Ambientação,Urbano,2-3h,Gratuito,Não,Jantar ao redor · Dorme cedo — jet lag de 10h de voo
,,,,,,,,,, 
Toronto,15/08 (Sáb),Dia Cheio,Manhã,09:30 → 12:00,Kensington Market,Bairro / Cultura,2h30,Gratuito,Não,"Bairro boêmio multicultural · Chegar cedo no sábado · Street food de vários países"
Toronto,15/08 (Sáb),Dia Cheio,Almoço,12:30 → 14:30,Bellwoods Brewery,Cervejaria / Almoço,1h30-2h,~$40-60 CAD (casal),Não,"124 Ossington Ave · Sem reserva · Chegue logo que abrir (12h) sábados"
Toronto,15/08 (Sáb),Dia Cheio,Tarde,15:00 → 16:30,CN Tower,Mirante,1h30,~$43 CAD/pessoa,Sim — online recomendado,"Compre online · Combo com Ripley's mais barato · Glass Floor vale pisar"
Toronto,15/08 (Sáb),Dia Cheio,Tarde,17:00 → 18:30,Ripley's Aquarium of Canada,Aquário,1h30,~$42 CAD/pessoa,Sim — online recomendado,"Próximo ao CN Tower · Dangerous Lagoon (túnel com tubarões) é o destaque · Aberto até 23h"
Toronto,15/08 (Sáb),Dia Cheio,Noite,19:30 → 21:00,Toronto Island & City Cruises,Passeio de barco,1h30,Ferry $9 CAD + Cruzeiro ~$30 CAD,Não,"Jack Layton Ferry Terminal · Pôr do sol às ~20h30 · Leve casaco leve"
,,,,,,,,,, 
Toronto,16/08 (Dom),Bate-Volta Niágara,Manhã,09:00 → 10:00,Cataratas do Niágara — Table Rock,Natureza,1h,Gratuito (área pública),Não,"Chegar cedo — agosto altíssima temporada · Table Rock: à beira da queda · Vista americana diferente"
Toronto,16/08 (Dom),Bate-Volta Niágara,Manhã,10:00 → 11:30,Niagara City Cruises,Cruzeiro,1h30,~$32 CAD/pessoa,Sim — online obrigatório,"Câmera em saquinho plástico · Convés superior na proa · Fila enorme sem reserva"
Toronto,16/08 (Dom),Bate-Volta Niágara,Manhã,11:30 → 12:30,Journey Behind the Falls,Atração,1h,~$20 CAD/pessoa,Não,Fica molhado mesmo com a capa · Portal (abertura na rocha) muito fotogênica
Toronto,16/08 (Dom),Bate-Volta Niágara,Tarde,13:00 → 15:00,Skylon Tower + Almoço + Maple Syrup,Mirante / Gastronomia,2h,~$20 CAD/pessoa (deck),Não,"Deck de observação · Compre maple syrup em loja local (não aeroporto) · Retorno a Toronto às 16h"
,,,,,,,,,, 
Toronto,17/08 (Seg),Último Dia,Manhã,09:00 → 11:30,⚠️ Distillery District (SUBSTITUIÇÃO — St. Lawrence fechado 2ª),Histórico / Fotográfico,2h30,Gratuito,Não,"Balzac's Coffee no bairro · Tijolo e pedra vitorianos · Galerias abrem às 10h · ST LAWRENCE MARKET FECHADO ÀS SEGUNDAS"
